Prénom,Nom,Département
Émile,Legrand,Direction Générale
Fanny,Garnier,Direction Générale
Gilles,Faure,Direction Générale
Hélène,Rousseau,Direction Générale
Juliette,Guerin,Direction Générale
Kelly,Arnaud,RH
Kévin,Muller,Direction Générale
Laure,Henry,Direction Générale
Lionel,Marchand,RH
Mia,Heschklaesh,Direction Générale
Tina,Le Hecourt,'Systèmes d''Information'
Valentina,Ferrari,Communication
Antoine,Lambert,Ventes et Développement Commercial
Camille,Fournier,Ventes et Développement Commercial
Élise,'François-D''Assise',Ventes et Développement Commercial
Julie,Garcia,Ventes et Développement Commercial
Juliette-Claire,Dubonnet,Ventes et Développement Commercial
Louis,Laurent,Ventes et Développement Commercial
Nicolas,Bertrand,Ventes et Développement Commercial
Thomas,Girard,Ventes et Développement Commercial
Alice,Martin,Ventes et Développement Commercial
Andréa,Marton,Ventes et Développement Commercial
Clara,Dubois,Ventes et Développement Commercial
David,Thomas,Ventes et Développement Commercial
Elena,Robert,Ventes et Développement Commercial
Èsteban,Lomez,Ventes et Développement Commercial
Jeremy,Lorrain,Ventes et Développement Commercial
Jessy,Lair,Ventes et Développement Commercial
Laura,David,Ventes et Développement Commercial
Léa,Michel,Ventes et Développement Commercial
Libou,Khamin,Ventes et Développement Commercial
Théophile,Laurent-Laffitte,Ventes et Développement Commercial
Fabien,Richard,Ventes et Développement Commercial
Gabrielle,Le Petit,Ventes et Développement Commercial
Hugo,Durand,Ventes et Développement Commercial
Isabelle,Le Roy,Ventes et Développement Commercial
Jérôme,Morotti,Ventes et Développement Commercial
Karine,Simon,Ventes et Développement Commercial
Nathalie,Nicolas,Service Juridique
Oscar,Perrin,Service Juridique
Patricia,Morin,Service Juridique
Romain,Mathieu,Service Juridique
Sophie,Clement,Service Juridique
Thomas-Ambroise,Gauthier,Service Juridique
Ugo,Dumont,Service Juridique
Véronique,Lopez,Service Juridique
Anaïs,Fontaine,Direction Financière
Eva,Reyer,Direction Financière
Louisa,Dupont,Direction Financière
Quentin,Blanchard,Direction Financière
Zoé,Dupuis,Direction Financière
Hassan,Liffite,'Systèmes d''Information'
Pierre,David,'Systèmes d''Information'
Rosalie,Roux,'Systèmes d''Information'
Alicia,Moreau,Ventes et Développement Commercial
Chloé,Bernard,Ventes et Développement Commercial
Hugo,Leroy,Ventes et Développement Commercial
Maxime,Petit,Ventes et Développement Commercial
Sarah,Lefranc,Ventes et Développement Commercial
Béatrice,Bonnet,'Systèmes d''Information'
Cyril,François,'Systèmes d''Information'
Aurélie,Petit,Direction Financière
Gabriel,Mercier,Direction Financière
Justinia,Lafontaine,Direction Financière
Leon,Müller,Direction Financière
Morgane,Palaiseau,Direction Financière
Victor,Lemoine-Franquin,Direction Financière
Myriam,Aubert,RH
Noah,Dumas,RH
Ophélie,Poulin,RH
Cédric,Caron,RH
Delphine,Boucher,RH
Étienne,Brun,RH
Geneviève,Giraud,RH
Henri,Joly,RH
Irène,Lemoine,RH
Jordan,Barbier,RH
